Date,Public_Health_Unit
2020-01-25,Toronto
2020-01-26,Toronto
2020-01-27,Toronto
2020-01-28,Toronto
2020-01-29,Toronto
2020-01-30,Toronto
2020-01-31,Toronto
2020-02-01,Toronto
2020-02-02,Toronto
2020-02-03,Toronto
2020-02-04,Toronto
2020-02-05,Toronto
2020-02-06,Toronto
2020-02-07,Toronto
2020-02-08,Toronto
2020-02-09,Toronto
2020-02-10,Toronto
2020-02-11,Toronto
2020-02-12,Toronto
2020-02-13,Toronto
2020-02-14,Toronto
2020-02-15,Toronto
2020-02-16,Toronto
2020-02-17,Toronto
2020-02-18,Toronto
2020-02-19,Toronto
2020-02-20,Toronto
2020-02-21,Toronto
2020-02-22,Toronto
2020-02-23,Toronto
2020-02-24,Toronto
2020-02-25,Toronto
2020-02-26,Toronto
2020-02-27,Toronto
2020-02-28,Toronto
2020-02-29,Toronto
2020-03-01,Toronto
2020-03-02,Toronto
2020-03-03,Toronto
2020-03-04,Toronto
2020-03-05,Toronto
2020-03-06,Toronto
2020-03-07,Toronto
2020-03-08,Toronto
2020-03-09,Toronto
2020-03-10,Toronto
2020-03-11,Toronto
2020-03-12,Toronto
2020-03-13,Toronto
2020-03-14,Toronto
2020-03-15,Toronto
2020-03-16,Toronto
2020-03-17,Toronto
2020-03-18,Toronto
2020-03-19,Toronto
2020-03-20,Toronto
TEST,TEST
2020-01-25,Middlesex London
2020-01-26,Middlesex London
2020-01-27,Middlesex London
2020-01-28,Middlesex London
2020-01-29,Middlesex London
2020-01-30,Middlesex London
2020-01-31,Middlesex London
2020-02-01,Middlesex London
2020-02-02,Middlesex London
2020-02-03,Middlesex London
2020-02-04,Middlesex London
2020-02-05,Middlesex London
2020-02-06,Middlesex London
2020-02-07,Middlesex London
2020-02-08,Middlesex London
2020-02-09,Middlesex London
2020-02-10,Middlesex London
2020-02-11,Middlesex London
2020-02-12,Middlesex London
2020-02-13,Middlesex London
2020-02-14,Middlesex London
2020-02-15,Middlesex London
2020-02-16,Middlesex London
2020-02-17,Middlesex London
2020-02-18,Middlesex London
2020-02-19,Middlesex London
2020-02-20,Middlesex London
2020-02-21,Middlesex London
2020-02-22,Middlesex London
2020-02-23,Middlesex London
2020-02-24,Middlesex London
2020-02-25,Middlesex London
2020-02-26,Middlesex London
2020-02-27,Middlesex London
2020-02-28,Middlesex London
2020-02-29,Middlesex London
2020-03-01,Middlesex London
2020-03-02,Middlesex London
2020-03-03,Middlesex London
2020-03-04,Middlesex London
2020-03-05,Middlesex London
2020-03-06,Middlesex London
2020-03-07,Middlesex London
2020-03-08,Middlesex London
2020-03-09,Middlesex London
2020-03-10,Middlesex London
2020-03-11,Middlesex London
2020-03-12,Middlesex London
2020-03-13,Middlesex London
2020-03-14,Middlesex London
2020-03-15,Middlesex London
2020-03-16,Middlesex London
2020-03-17,Middlesex London
2020-03-18,Middlesex London
2020-03-19,Middlesex London
2020-03-20,Middlesex London
2020-01-25,NotAvailable
2020-01-26,NotAvailable
2020-01-27,NotAvailable
2020-01-28,NotAvailable
2020-01-29,NotAvailable
2020-01-30,NotAvailable
2020-01-31,NotAvailable
2020-02-01,NotAvailable
2020-02-02,NotAvailable
2020-02-03,NotAvailable
2020-02-04,NotAvailable
2020-02-05,NotAvailable
2020-02-06,NotAvailable
2020-02-07,NotAvailable
2020-02-08,NotAvailable
2020-02-09,NotAvailable
2020-02-10,NotAvailable
2020-02-11,NotAvailable
2020-02-12,NotAvailable
2020-02-13,NotAvailable
2020-02-14,NotAvailable
2020-02-15,NotAvailable
2020-02-16,NotAvailable
2020-02-17,NotAvailable
2020-02-18,NotAvailable
2020-02-19,NotAvailable
2020-02-20,NotAvailable
2020-02-21,NotAvailable
2020-02-22,NotAvailable
2020-02-23,NotAvailable
2020-02-24,NotAvailable
2020-02-25,NotAvailable
2020-02-26,NotAvailable
2020-02-27,NotAvailable
2020-02-28,NotAvailable
2020-02-29,NotAvailable
2020-03-01,NotAvailable
2020-03-02,NotAvailable
2020-03-03,NotAvailable
2020-03-04,NotAvailable
2020-03-05,NotAvailable
2020-03-06,NotAvailable
2020-03-07,NotAvailable
2020-03-08,NotAvailable
2020-03-09,NotAvailable
2020-03-10,NotAvailable
2020-03-11,NotAvailable
2020-03-12,NotAvailable
2020-03-13,NotAvailable
2020-03-14,NotAvailable
2020-03-15,NotAvailable
2020-03-16,NotAvailable
2020-03-17,NotAvailable
2020-03-18,NotAvailable
2020-03-19,NotAvailable
2020-03-20,NotAvailable
2020-01-25,York
2020-01-26,York
2020-01-27,York
2020-01-28,York
2020-01-29,York
