Region,Date,Cases,Change,Deaths,Resolved,Source,CDUID,lat,long
Toronto,25-Jan-20,1,,0,,,3520,43.712099,-79.369720
Toronto,12-Mar-20,32,31,0,,,3520,43.712099,-79.369720
Toronto,13-Mar-20,44,12,0,,,3520,43.712099,-79.369720
Toronto,14-Mar-20,53,9,0,,,3520,43.712099,-79.369720
Toronto,15-Mar-20,67,14,0,,,3520,43.712099,-79.369720
Toronto,16-Mar-20,78,11,0,,,3520,43.712099,-79.369720
Toronto,17-Mar-20,104,26,0,4,,3520,43.712099,-79.369720
Toronto,19-Mar-20,106,2,0,4,,3520,43.712099,-79.369720
Toronto,20-Mar-20,161,,,4,stopped updating in history,3520,43.712099,-79.369720
Toronto,21-Mar-20,193,,,4,stopped updating in history,3520,43.712099,-79.369720
Toronto,22-Mar-20,219,,,,resumed updating in history,3520,43.712099,-79.369720
Toronto,23-Mar-20,239,,1,5,stopped updating in history,3520,43.712099,-79.369720
Toronto,24-Mar-20,280,,,,,3520,43.712099,-79.369720
Toronto,25-Mar-20,319,,,,https://www.tvo.org/article/covid-19-what-you-need-to-know-for-march-26,3520,43.712099,-79.369720
Toronto,26-Mar-20,339,,,,https://www.tvo.org/article/covid-19-what-you-need-to-know-for-march-26,3520,43.712099,-79.369720
Toronto,27-Mar-20,457,,,,,3520,43.712099,-79.369720
Toronto,28-Mar-20,512,,,,https://www.toronto.com/news-story/9873970-how-many-cases-of-coronavirus-are-there-in-toronto-/,3520,43.712099,-79.369720
Peel,13-Mar-20,11,,0,,,3521,43.776189,-79.738355
Peel,14-Mar-20,12,1,0,,,3521,43.776189,-79.738355
Peel,15-Mar-20,17,5,0,,,3521,43.776189,-79.738355
Peel,16-Mar-20,21,4,0,,,3521,43.776189,-79.738355
Peel,18-Mar-20,24,3,0,,,3521,43.776189,-79.738355
Peel,19-Mar-20,26,2,0,,,3521,43.776189,-79.738355
Peel,20-Mar-20,34,6,,,,3521,43.776189,-79.738355
Peel,22-Mar-20,37,3,,,,3521,43.776189,-79.738355
Peel,23-Mar-20,38,1,,,,3521,43.776189,-79.738355
Peel,24-Mar-20,56,18,,,,3521,43.776189,-79.738355
Peel,25-Mar-20,63,7,,,,3521,43.776189,-79.738355
Peel,26-Mar-20,75,12,,,,3521,43.776189,-79.738355
Peel,27-Mar-20,116,41,,,,3521,43.776189,-79.738355
Peel,28-Mar-20,154,38,,,,3521,43.776189,-79.738355
York,13-Mar-20,8,,0,,,3519,43.776189,-79.738355
York,15-Mar-20,11,3,0,,,3519,43.776189,-79.738355
York,16-Mar-20,16,5,0,,,3519,43.776189,-79.738355
York,17-Mar-20,22,6,0,,,3519,43.776189,-79.738355
York,18-Mar-20,24,2,0,,,3519,43.776189,-79.738355
York,19-Mar-20,27,3,0,,,3519,43.776189,-79.738355
York,20-Mar-20,35,8,,,,3519,43.776189,-79.738355
York,21-Mar-20,37,2,,,,3519,43.776189,-79.738355
York,22-Mar-20,53,16,1,,,3519,43.776189,-79.738355
York,23-Mar-20,70,,1,1,stopped updating in history,3519,43.776189,-79.738355
York,24-Mar-20,82,29,1,1,,3519,43.776189,-79.738355
York,25-Mar-20,97,15,1,1,,3519,43.776189,-79.738355
York,26-Mar-20,112,15,1,1,,3519,43.776189,-79.738355
York,27-Mar-20,163,51,1,1,,3519,43.776189,-79.738355
Ottawa,11-Mar-20,1,,0,,,3506,45.369603,-75.700291
Ottawa,12-Mar-20,2,1,0,,,3506,45.369603,-75.700291
Ottawa,13-Mar-20,3,1,0,,,3506,45.369603,-75.700291
Ottawa,14-Mar-20,5,2,0,,,3506,45.369603,-75.700291
Ottawa,15-Mar-20,10,5,0,,,3506,45.369603,-75.700291
Ottawa,16-Mar-20,13,3,0,,,3506,45.369603,-75.700291
Ottawa,18-Mar-20,14,1,0,,,3506,45.369603,-75.700291
Ottawa,19-Mar-20,16,2,0,,,3506,45.369603,-75.700291
Ottawa,20-Mar-20,19,3,0,,,3506,45.369603,-75.700291
Ottawa,21-Mar-20,20,1,,,,3506,45.369603,-75.700291
Ottawa,22-Mar-20,21,1,,,,3506,45.369603,-75.700291
Ottawa,23-Mar-20,24,3,,,,3506,45.369603,-75.700291
Ottawa,24-Mar-20,38,14,,,,3506,45.369603,-75.700291
Ottawa,25-Mar-20,43,5,,,,3506,45.369603,-75.700291
Ottawa,26-Mar-20,51,8,,,,3506,45.369603,-75.700291
Ottawa,28-Mar-20,75,,,,stopped updating in history,3506,45.369603,-75.700291
Hamilton,12-Mar-20,1,,0,,,3525,43.250021,-79.866091
Hamilton,14-Mar-20,2,1,0,,,3525,43.250021,-79.866091
Hamilton,15-Mar-20,5,3,0,,,3525,43.250021,-79.866091
Hamilton,16-Mar-20,9,4,0,,,3525,43.250021,-79.866091
Hamilton,17-Mar,14,5,0,,,3525,43.250021,-79.866091
Hamilton,18-Mar,16,2,0,,,3525,43.250021,-79.866091
Hamilton,19-Mar,18,2,0,,,3525,43.250021,-79.866091
Hamilton,20-Mar,23,5,0,,,3525,43.250021,-79.866091
Hamilton,22-Mar,27,4,0,,,3525,43.250021,-79.866091
Hamilton,23-Mar,32,5,,,,3525,43.250021,-79.866091
Hamilton,24-Mar,35,3,1,,,3525,43.250021,-79.866091
Hamilton,27-Mar,51,16,1,,,3525,43.250021,-79.866091
Waterloo,05-Mar,1,,0,,,3530,43.431900,-80.482368
Waterloo,12-Mar-20,3,2,0,,,3530,43.431900,-80.482368
Waterloo,13-Mar-20,4,1,0,,,3530,43.431900,-80.482368
Waterloo,14-Mar-20,6,2,0,,,3530,43.431900,-80.482368
Waterloo,15-Mar-20,8,2,0,,,3530,43.431900,-80.482368
Waterloo,18-Mar-20,9,1,0,,,3530,43.431900,-80.482368
Waterloo,19-Mar-20,12,3,0,,,3530,43.431900,-80.482368
Waterloo,20-Mar-20,14,2,0,,,3530,43.431900,-80.482368
Waterloo,21-Mar-20,15,1,,,,3530,43.431900,-80.482368
Waterloo,22-Mar-20,32,17,,,,3530,43.431900,-80.482368
Waterloo,25-Mar-20,58,26,,,,3530,43.431900,-80.482368
Waterloo,27-Mar-20,69,11,,,,3530,43.431900,-80.482368
Durham,29-Feb-20,2,,0,,,3518,44.018816,-78.936865
Durham,14-Mar-20,5,3,0,,,3518,44.018816,-78.936865
Durham,15-Mar-20,7,2,0,,,3518,44.018816,-78.936865
Durham,16-Mar-20,8,1,0,,,3518,44.018816,-78.936865
Durham,18-Mar-20,10,2,0,,,3518,44.018816,-78.936865
Durham,19-Mar-20,18,8,0,,,3518,44.018816,-78.936865
