CDUID	lat	long	URL	Region	1/25/2020	1/26/2020	1/27/2020	1/28/2020	1/29/2020	1/30/2020	1/31/2020	02/01/2020	02/02/2020	02/03/2020	02/04/2020	02/05/2020	02/06/2020	02/07/2020	02/08/2020	02/09/2020	02/10/2020	02/11/2020	02/12/2020	2/13/2020	2/14/2020	2/15/2020	2/16/2020	2/17/2020	2/18/2020	2/19/2020	2/20/2020	2/21/2020	2/22/2020	2/23/2020	2/24/2020	2/25/2020	2/26/2020	2/27/2020	2/28/2020	2/29/2020	03/01/2020	03/02/2020	03/03/2020	03/04/2020	03/05/2020	03/06/2020	03/07/2020	03/08/2020	03/09/2020	03/10/2020	03/11/2020	03/12/2020	3/13/2020	3/14/2020	3/15/2020	3/16/2020	3/17/2020	3/18/2020	3/19/2020	3/20/2020	3/21/2020	3/22/2020	3/23/2020	3/24/2020	3/25/2020	3/26/2020	3/27/2020	3/28/2020	3/29/2020	3/30/2020	3/31/2020
3557	47.942046	-84.47078	http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#algoma	Algoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	4	4	5
3529	43.119435	-80.251532	https://www.bchu.org/ServicesWeProvide/InfectiousDiseases/Pages/coronavirus.aspx	"Brant, Brantford"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	3	3	4	4	7	8	11	14
3536	42.163672	-82.475264	https://ckphu.com/covid-19/	Chatham-Kent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	4	4	6	6	8
3518	44.018816	-78.936865	https://www.durham.ca/en/health-and-wellness/novel-coronavirus-update.aspx#Status-of-cases-in-Durham-Region	Durham	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	7	8	8	10	18	18	18	29	31	37	37	37	52	67	91	99	111
3534	42.752383	-81.163098	https://ckphu.com/covid-19/	Elgin County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	4	4	6	6	6
35412	44.576535	-80.942432		Grey-Bruce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4		
	42.931419	-80.07998	https://hnhu.org/news-events/	Haldimand-Norfolk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	23		27
3524	43.501865	-79.874084	https://www.halton.ca/For-Residents/Immunizations-Preventable-Disease/Diseases-Infections/New-Coronavirus	Halton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	4	4	8	11	11	11	11	12	15	18	18	18	19	27	36	59
3525	43.250021	-79.866091	https://www.hamilton.ca/coronavirus	Hamilton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	9	14	16	18	23	23	27	32	35	35	35	51	51	70	91	101
35123	44.186708	-77.393883	https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/	Hastings - Prince Edward	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	5	5	5	5	6	7		8	
